	11314340	24889392	11409972	11338033	10184653	5287969	6450551	11364421	9926054	16007391	5328940	11234052	11656518	6918454	156414	9933475	11626560	3062316	156422	44150621	176167	176870	42642645	11717001	16725726	11617559	123631	5291	4908365	11427553	208908	126565	11485656	9929127	11712649	10074640	51004351	11667893	9915743	644241	447077	10461815	9884685	24180719	25243800	10113978	17755052	11984591	153999	25127112	176155	24779724	3025986	10138260	10127622	216239	44259	5329102	16038120	10427712	16722836	3038522	9926791	5494449	3038525	3081361	9809715	151194
11314340	2	0.72	0.73	0.79	0.74	0.79	0.93	0.79	0.68	0.71	0.66	0.77	0.77	0.73	0.73	0.81	0.87	0.8	0.71	0.88	0.71	0.69	0.57	0.87	0.77	0.83	0.84	0.71	0.76	0.84	0.68	0.62	0.85	0.77	0.76	0.69	0.67	0.84	0.62	0.68	0.85	0.69	0.79	0.82	0.68	0.93	0.8	0.78	0.72	0.88	0.76	0.98	0.95	0.82	0.7	0.76	0.63	0.88	0.62	0.76	0.67	0.64	0.75	0.67	0.86	0.86	0.7	0.83
24889392	0.72	2	0.7	0.53	0.63	0.5	0.61	0.68	0.56	0.74	0.64	0.69	0.79	0.55	0.79	0.74	0.7	0.76	0.69	0.68	0.56	0.65	0.8	0.55	0.53	0.56	0.59	0.61	0.61	0.67	0.62	0.49	0.85	0.56	0.61	0.72	0.55	0.59	0.54	0.72	0.7	0.65	0.62	0.58	0.6	0.67	0.6	0.67	0.45	0.58	0.72	0.64	0.79	0.71	0.53	0.73	0.48	0.73	0.67	0.51	0.77	0.72	0.58	0.61	0.54	0.79	0.64	0.61
11409972	0.73	0.7	2	0.52	0.6	0.43	0.72	0.67	0.56	0.72	0.63	0.64	0.71	0.57	0.63	0.69	0.67	0.71	0.76	0.71	0.66	0.59	0.62	0.49	0.54	0.69	0.64	0.73	0.62	0.81	0.68	0.48	0.93	0.56	0.73	0.89	0.5	0.67	0.55	0.69	0.75	0.65	0.52	0.58	0.56	0.7	0.63	0.72	0.43	0.6	0.64	0.63	0.69	0.7	0.55	0.91	0.47	0.71	0.78	0.49	0.7	0.66	0.49	0.61	0.56	0.71	0.65	0.67
11338033	0.79	0.53	0.52	2	0.72	0.83	0.83	0.65	0.7	0.64	0.66	0.85	0.66	0.91	0.68	0.72	0.84	0.71	0.63	0.67	0.66	0.72	0.6	0.83	0.86	0.81	0.81	0.75	0.78	0.73	0.65	0.72	0.78	0.95	0.69	0.7	0.56	0.85	0.61	0.75	0.78	0.6	0.8	0.86	0.73	0.85	0.69	0.74	0.71	0.79	0.72	0.86	0.82	0.7	0.83	0.69	0.66	0.73	0.61	0.81	0.66	0.53	0.79	0.69	0.82	0.78	0.6	1.01
10184653	0.74	0.63	0.6	0.72	2	0.72	0.74	0.63	0.7	0.77	0.82	0.75	0.78	0.83	1.09	0.86	0.69	0.7	0.6	0.67	0.71	1.11	0.51	0.67	0.69	0.7	0.92	0.65	0.72	0.69	0.89	0.69	0.7	0.76	0.76	0.62	0.59	0.74	1.14	0.7	0.86	0.59	0.81	0.74	0.7	0.83	0.72	0.75	0.66	0.68	0.66	0.8	0.68	0.66	0.8	0.7	0.68	0.72	0.66	0.65	0.69	0.7	0.7	0.68	0.77	0.69	0.71	0.79
5287969	0.79	0.5	0.43	0.83	0.72	2	0.67	0.75	0.74	0.5	0.6	0.8	0.71	0.81	0.71	0.67	0.83	0.61	0.57	0.6	0.66	0.77	0.55	0.78	0.69	0.82	0.78	0.65	0.75	0.63	0.64	0.89	0.64	0.74	0.71	0.65	0.6	0.83	0.65	0.67	0.65	0.64	0.91	0.77	0.72	0.8	0.66	0.7	0.78	0.77	0.74	0.82	0.6	0.66	0.78	0.59	0.85	0.64	0.61	0.82	0.61	0.52	0.84	0.69	0.82	0.77	0.69	0.73
6450551	0.93	0.61	0.72	0.83	0.74	0.67	2	0.76	0.69	0.72	0.78	0.82	0.73	0.85	0.74	0.75	0.81	0.75	0.64	0.79	0.71	0.74	0.6	0.75	0.73	0.85	0.7	0.73	0.76	0.88	0.69	0.53	0.91	0.84	0.77	0.68	0.65	0.75	0.71	0.68	0.87	0.64	0.67	0.81	0.71	0.8	0.75	0.8	0.6	0.72	0.69	0.85	0.8	0.74	0.72	0.83	0.54	0.82	0.73	0.67	0.66	0.63	0.7	0.64	0.93	0.81	0.65	0.86
11364421	0.79	0.68	0.67	0.65	0.63	0.75	0.76	2	0.66	0.69	0.75	0.69	0.75	0.65	0.64	0.69	0.76	0.82	0.81	0.68	0.74	0.69	0.58	0.6	0.57	0.8	0.68	0.69	0.71	0.78	0.72	0.64	0.71	0.65	0.83	0.69	0.65	0.82	0.74	0.66	0.72	0.75	0.68	0.71	0.65	0.76	0.68	0.77	0.61	0.66	0.67	0.7	0.82	0.7	0.68	0.78	0.64	0.73	0.66	0.58	0.68	0.68	0.64	0.67	0.76	0.77	0.72	0.72
9926054	0.68	0.56	0.56	0.7	0.7	0.74	0.69	0.66	2	0.65	0.57	0.71	0.62	0.76	0.68	0.7	0.64	0.65	0.57	0.66	0.63	0.79	0.47	0.87	0.77	0.66	0.71	0.53	0.89	0.63	0.52	0.75	0.63	0.7	0.69	0.53	0.61	0.69	0.57	0.49	0.84	0.49	1	0.7	0.84	0.66	0.66	0.59	0.68	0.74	0.66	0.73	0.67	0.58	0.77	0.57	0.73	0.68	0.48	0.85	0.53	0.57	0.79	0.68	0.75	0.68	0.64	0.94
